     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         1,         0,   0.593,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
       100,         4,         0,   0.588,pymatching,6d518fead4b4bf579b83cfa44eada47a1dad24a14884f89541fa94420c550586,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.004,""r"":""3d"",""ro"":""ro""}",
       200,         3,         0,   0.001,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
       200,         8,         0,   0.001,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
       600,        24,         0,   0.001,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
       100,         4,         0,   0.580,pymatching,011a31ca0412d8fb3606e32122601393a7d411dac129526b8604325ddbfc181d,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":10231203,""p"":0.003,""r"":""3d"",""ro"":""unro""}",
      1000,        25,         0,   0.001,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
       100,        11,         0,   0.581,pymatching,c277f53cc3a41c582119c30f8a1fc803123e957f0e1fe2c6fc51181665e9d1f5,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":10231203,""p"":0.004,""r"":""3d"",""ro"":""unro""}",
      2200,        56,         0,   0.003,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
      2200,        67,         0,   0.003,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
      1900,        53,         0,   0.003,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
      4200,       110,         0,   0.004,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
      8600,       299,         0,   0.012,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
     13000,       435,         0,   0.013,pymatching,72c6525de52e10a03520f660f8c87dce40d5dd50fbab905638923346d1874004,"{""b"":""x"",""d"":3,""idl"":""y"",""o"":32013021,""p"":0.003,""r"":""3d"",""ro"":""ro""}",
